objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"12 Chip Trick","358669","0","2","0","0","0","0","0","1","0","1","1","4","","","","","","107782743","6.00236","6.81453","1.5625","3085","1977","thing","12 Chip Trick","2","4","20","20","20","2022","3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"12 Days","130899","6.5","14","2","1","0","0","0","0","0","0","0","1","#small","","","","","56660159","5.91454","6.5348","1.2","3651","3618","thing","12 Days","3","5","15","15","15","2018","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","845866001125","11.19","USD","","","2018-12-24","Amazon","1","","Cards","2018-12-27","Calliope Games","English","2018","English third edition"
"12 Days of Christmas","170430","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101001750","5.55921","5.99678","1.2353","11888","1049","thing","12 Days of Christmas","3","8","30","30","20","2015","4,5,6,7,8","4,6","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The 12 Dice of Christmas","371555","0","1","0","0","0","0","0","1","0","1","0","3","#dice","","","","","100837620","5.50373","5.97378","0","23714","95","thing","The 12 Dice of Christmas","2","5","30","30","30","2022","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"12 Rivers","370391","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","98612563","5.57447","6.89455","2","10618","237","thing","12 Rivers","2","4","75","75","45","2022","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"12 Rivers","447649","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","134311437","5.60242","7.37954","1.7143","8978","458","thing","12 Rivers","2","4","75","75","45","2025","3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Beavers","423850","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","121758446","5.56218","6.41043","1","11628","554","thing","13 Beavers","2","6","30","30","30","2024","2,3,4,5,6","4,5,6","4+","","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Clues","208766","6","0","0","0","0","0","0","1","0","0","0","1","","","","","","81292019","5.9126","6.57099","1.9706","3665","2131","thing","13 Clues","2","6","30","30","30","2016","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Days: The Cuban Missile Crisis, 1962","177590","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","69902961","6.62088","7.19442","2.3355","1028","7588","thing","13 Days: The Cuban Missile Crisis, 1962","2","2","45","45","45","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Leaves","434442","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137432396","5.57452","6.67857","1.2","10614","390","thing","13 Leaves","3","6","20","20","20","2025","3,4,5,6","4,5","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Words","363039","4.1","2","1","0","0","0","0","0","1","1","0","3","#words","","","","","99038143","5.54825","6.03634","1","13051","423","thing","13 Words","2","8","20","20","20","2022","3,4,5,6,7,8","3,4","5+","Unplayable in another language","","","","","","standalone","5407009610028","7","","","","2024-04-08","Target","1","Trade credit to black and read for 15 combo ","","2024-04-14","","","",""
"15 Days","298619","0","4","0","0","0","0","0","1","0","0","0","1","","","","","","103049335","5.6538","6.3706","1.7895","7150","1747","thing","15 Days","1","4","20","20","20","2020","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"16 Candies","376932","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","119495751","5.50628","6.35469","1","22952","193","thing","16 Candies","2","4","30","30","15","2024","3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"18 Holes","274234","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","99642259","5.63519","7.00824","1.8","7681","723","thing","18 Holes","1","5","60","60","30","2020","1,2,3,4,5","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"18 Holes: Course Architect","347107","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","86795654","5.5127","6.22632","2","20939","157","thing","18 Holes: Course Architect","1","18","30","30","20","2022","1,2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"1930: The Golden Age of Airlines","380839","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122720964","5.55057","6.59768","3.6667","12770","315","thing","1930: The Golden Age of Airlines","2","6","120","120","40","2023","3,4","3,4","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"1st & Goal","95105","5.5","1","0","0","0","0","0","0","1","0","0","1","","","","","","93844971","5.93711","6.54758","1.812","3487","2674","thing","1st & Goal","2","4","150","150","120","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","5.45","USD","","","2022-08-01","2nd & Charles","1","Trade black and read assumed 5 bucks","","2022-08-01","","","",""
"2 Minute Dino Deal","301115","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","73363524","0","4.8749","1","0","31","thing","2 Minute Dino Deal","2","5","2","2","2","2020","2,3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"2 Win","431280","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","124982280","5.56931","6.94966","1.4","11015","278","thing","2 Win","2","6","15","15","15","2025","3,4,5,6","4,5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"20 Bucks for That?!","431281","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","124982337","0","5.71053","1","0","39","thing","20 Bucks for That?!","3","7","25","25","25","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"20 Strong","373167","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112357559","6.47081","7.42017","2.3625","1357","7536","thing","20 Strong","1","1","40","40","30","2023","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"20,000 Leagues Under the Sea","419512","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137405753","0","7.26667","2","0","60","thing","20,000 Leagues Under the Sea","1","5","45","45","45","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"221B Baker Street: The Master Detective Game","1275","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","126608282","5.72304","6.01117","1.7923","5686","8686","thing","221B Baker Street: The Master Detective Game","2","6","90","90","90","1975","2,3,4,5,6","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"23","103651","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","62664290","5.65445","6.33583","1.2326","7134","633","thing","23","2","4","25","25","25","2011","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"24/7: The Game","25182","6.5","14","0","0","0","0","0","0","0","1","1","3","","","","","","113535456","5.5794","6.1612","1.8649","10274","323","thing","24/7: The Game","2","4","20","20","20","2006","2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"25 Outlaws","283544","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","62093403","5.48507","5.35558","2.5","27276","455","thing","25 Outlaws","2","5","0","0","0","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"25 Words or Less","441658","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","133667302","0","6.9","0","0","16","thing","25 Words or Less","4","99","35","35","20","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"25 Words or Less","621","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","133667559","5.72749","6.57979","1.52","5624","1091","thing","25 Words or Less","4","99","35","35","20","1996","4,6,8,10","4,8","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Chapters","423517","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","123826070","6.14766","7.06586","1.6596","2377","3776","thing","3 Chapters","2","6","30","30","30","2024","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"3 of a Kind","416027","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","123323511","5.54526","6.90361","1","13465","178","thing","3 of a Kind","2","8","25","25","25","2024","5,6,7,8","5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Ring Circus","371947","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","108591458","6.38529","7.1974","2.6961","1577","5721","thing","3 Ring Circus","1","4","75","75","45","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Second Try","355473","0","0","0","0","0","0","0","1","0","1","1","4","","","","","","102654812","5.56233","6.40843","1","11616","451","thing","3 Second Try","2","7","15","15","15","2021","5,6,7","5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Wishes","198836","5","4","2","0","0","0","0","0","1","0","0","1","","","","","","57926587","5.45529","5.39776","1.1538","28758","2374","thing","3 Wishes","3","5","5","5","3","2016","3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","7.5","USD","","","2022-02-21","Black & Read","1","Sold for assumed 4 dollars","","2022-02-21","","","",""
"3-2-1 Countdown","436590","5.8","1","0","0","0","0","0","0","0","0","0","1","","","","","","128167587","5.5311","6.46711","1","15873","253","thing","3-2-1 Countdown","2","8","30","30","16","2025","","","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"30 Rails","200551","0","0","0","0","0","0","0","0","0","1","0","1","#write","","","","","98669650","5.70528","6.49236","1.7273","6005","818","thing","30 Rails","1","8","30","30","20","2016","1,2,3,4,5,6","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","Pouch","","","","",""
"30s","268922","0","0","0","0","0","0","0","0","0","1","0","3","","Dice","","","","89497773","0","4.94","1","0","12","thing","30s","2","10","30","30","10","0","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"3UP 3DOWN","208316","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","62796315","5.50807","5.7892","1.3333","22426","435","thing","3UP 3DOWN","2","6","15","15","3","2016","2,4,5,6","2","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Minute Chase","249039","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59748418","5.52548","5.73405","1.6","17217","718","thing","5 Minute Chase","2","4","15","15","5","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Minuten Puzzle","330555","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100573151","5.5107","5.79175","1.7143","21604","325","thing","5 Minuten Puzzle","1","6","5","5","5","2021","1,2,3,4,5,6","1,2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Towers","400205","6","1","0","0","0","1","0","1","0","1","0","3","","","","","","112417835","6.14072","6.73914","1.25","2414","5264","thing","5 Towers","2","5","30","30","15","2023","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Up","421084","0","0","0","0","0","0","0","1","0","1","1","4","","","","","","137751661","0","6.6","1","0","35","thing","5 Up","2","4","30","30","5","2024","","","4–3","","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Dungeon","207830","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53759014","6.58851","6.90705","1.1185","1099","22164","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"504","175878","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","67843346","5.79001","6.18856","3.4623","4787","4181","thing","504","2","4","120","120","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"52 Realms: Adventures","432250","0","0","0","0","0","0","0","1","0","1","1","5","","","","","","132155429","5.70889","7.53421","1.9091","5933","1034","thing","52 Realms: Adventures","1","1","20","20","10","2024","1","1","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"5211","271512","5","6","2","0","0","0","0","0","1","0","0","1","","Hand Management","","","","67499152","5.87008","6.31691","1.2609","3983","4461","thing","5211","2","5","30","30","20","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","11.69","USD","","","2020-03-01","Barnes & Noble","1","Sold for 7.50
","","2020-03-01","","","",""
"5er Finden","285535","5","1","0","0","0","0","0","0","1","1","1","4","#write","","","","","93730145","5.58206","6.39539","1.3333","10112","504","thing","5er Finden","1","4","20","20","20","2019","1,2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","5","USD","","","2023-03-08","BGG","1","","","2023-03-08","","","",""
"60 Second City","342019","5","2","0","0","0","0","0","0","1","0","0","4","","","","","","84886511","5.69109","6.5223","1.1538","6279","1719","thing","60 Second City","2","2","30","30","20","2021","1,2","2","8+","","","","","","","standalone","","8.99","USD","","","2022-07-12","Target","1","Sold for 10","","2022-07-12","","","",""
"61 Feuilles d'automne","375440","0","1","0","0","0","0","0","1","0","1","1","3","","","","","","109537995","5.60874","6.49033","1.6","8680","285","thing","61 Feuilles d'automne","1","10","20","20","20","2022","2,3,4,5,6,7,8,9,10","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Ate 9","42206","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","61282860","5.59805","6.08857","1.0968","9201","1682","thing","7 Ate 9","2","4","5","5","5","2009","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Dice Wonders","143085","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132155437","5.51637","6.24","1.875","19783","132","thing","7 Dice Wonders","1","4","20","20","20","2013","1,2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Summits","275213","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","70096734","5.57162","6.38956","2","10830","591","thing","7 Summits","2","5","45","45","30","2021","2,3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","6.5","7","3","1","0","0","0","0","0","0","0","3","#large","Card Drafting","","","","53697615","7.55451","7.66674","2.3148","111","151740","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","5425016920558","29.19","USD","","","2018-08-05","Amazon","1","","","2018-08-08","","","",""
"7 Wonders Dice","446231","0","0","0","0","0","0","0","1","0","0","1","1","","","","","","132125491","5.55625","6.26839","2.3333","12161","480","thing","7 Wonders Dice","2","7","30","30","25","2025","2,3,4,5,6,7","2,3,4,5,6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","7","19","3","1","0","0","0","0","0","0","0","3","#medium","Action Selection","","","","53701923","7.95794","8.08255","2.2268","21","176549","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","5425016923818","","","","","2021-08-23","Tiffany Allen","1","","","2021-08-23","","","",""
"7 Wonders Duel: Agora","309116","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","78160130","7.2548","8.07146","2.8898","0","22486","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53714547","7.62948","7.99963","2.3207","0","49495","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel: Statue of Liberty Promo Card","196339","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53714553","5.99583","7.4631","2","0","4171","thing","7 Wonders Duel: Statue of Liberty Promo Card","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Architects","346703","8.1","130","2","1","0","0","0","0","1","0","0","4","","","","","","85504920","6.76001","7.03496","1.3689","794","18350","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","5425016925560","26.66","USD","","","2022-11-27","Target","1","","","2022-12-13","","","",""
"7 Wonders: Architects","346703","8","130","2","1","0","0","0","0","0","0","0","3","#large","","","","","112297611","6.76001","7.03496","1.3689","794","18350","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","5425016925560","20.56","USD","","","2023-11-08","Target","1","","","2023-11-10","","","",""
"7 Wonders: Architects – Medals","403217","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","112297660","5.91595","7.78202","1.4167","0","2788","thing","7 Wonders: Architects – Medals","2","7","25","25","25","2024","2,3,4,5,6,7","4,5,6","","","","","","","","expansion","5425016927533","13.97","","","","2024-08-30","GameNerdz","1","","","2024-09-21","","","",""
"7 Wonders: Babel","154638","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53714561","6.34701","6.85184","2.6547","0","15095","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53702322","7.36174","7.79989","2.3467","0","31562","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Edifice","378839","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","102630466","5.80282","7.47137","1.8","0","2930","thing","7 Wonders: Edifice","3","7","30","30","30","2023","4,5,6,7","5,6","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","53714564","7.46913","7.816","2.2751","0","36888","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Wonder Pack","133993","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","53714496","6.96164","7.58906","2.2579","0","18167","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"77 ways to play TENZI","190738","6","4","1","1","0","0","0","0","0","0","0","1","#small","Dice Rolling","","","","55042937","5.5575","6.22387","1","0","1110","thing","77 ways to play TENZI","2","6","0","0","0","2022","","","5+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","9.95","USD","","","2018-07-13","Amazon","1","","Cards","2018-07-15","","","",""
"The 7th Continent","180263","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","55487209","7.43816","7.74652","2.8991","155","38528","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"7th Inning Stretch","426318","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122707895","5.57135","7.41564","2.5","10860","424","thing","7th Inning Stretch","1","2","45","45","30","2025","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"800 Pound Gorilla","392097","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","117593481","5.51528","6.09656","1","20145","322","thing","800 Pound Gorilla","3","6","15","15","10","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"A la carte","217","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","97595674","6.05552","6.45765","1.2932","2808","4709","thing","A la carte","2","4","30","30","30","1989","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The A.R.T. Project","378356","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","130338641","5.9442","7.09508","2.0476","3441","2120","thing","The A.R.T. Project","1","6","40","40","40","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aban!","349767","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100539896","5.52577","7.13164","2","17146","105","thing","Aban!","1","5","30","30","15","2022","1,2,3,4,5","2,3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Abandon All Artichokes","302260","6","4","2","0","0","0","0","0","1","0","0","3","","","","","","70313792","6.26721","6.58302","1.2585","1923","10134","thing","Abandon All Artichokes","2","4","20","20","20","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","5.99","USD","","","2021-11-28","King Soopers","1","Sold for 7.50","","2021-11-28","","","",""
"Abducktion","368609","5","2","0","0","0","0","0","0","1","0","0","3","#large #cubes","","","","","105890530","6.0092","6.95271","1.3953","3038","4361","thing","Abducktion","1","4","15","15","15","2023","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","33.06","USD","","","2024-03-23","Game Train USA","1","","","2024-03-23","","","",""
"Abducktion: IntergalacDuck Research Expansion","369815","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","119154101","5.64187","7.46361","1.75","0","1462","thing","Abducktion: IntergalacDuck Research Expansion","1","6","40","40","25","2023","1,2,3","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ablaze!","65516","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","56575289","5.54913","5.97337","2","12936","669","thing","Ablaze!","1","4","30","30","30","2010","1,2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","88618318","7.07816","7.3477","2.5152","409","26828","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Abra Chadabra","436400","8","39","0","0","0","1","1","1","0","0","1","1","","","","","","132134974","5.52254","5.8813","1","18015","62","thing","Abra Chadabra","2","5","15","15","15","2025","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Acquire","5","7","2","0","0","0","1","1","0","0","0","1","2","","","","","","58835539","7.12812","7.35242","2.4908","360","29276","thing","Acquire","2","6","90","90","90","1963","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Across America Fluxx","375295","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103780054","5.51796","6.70172","1","19302","240","thing","Across America Fluxx","2","6","30","30","5","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Adulthood","416780","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122509976","5.64508","7.16506","2.375","7383","615","thing","Adulthood","1","4","45","45","45","2024","2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
